k,feature_set,repeat_idx,child_seed,rmse_logJ,mae_logJ,bias_logJ,spearman_rho,pearson_r,within_2x_ratio,top3_hit,test_n
3,composition_only,46,597594931,0.1085084157,0.09040574026,-0.01786158059,0.8,0.8138524431,1,0.6666666667,9
3,composition_only,47,2865206418,0.1129549684,0.1028534344,0.04908970669,0.4666666667,0.4847712075,1,0.3333333333,9
3,composition_only,48,3003750881,0.1176341631,0.09731596677,-0.0457968978,0.8166666667,0.7864234258,1,0.6666666667,9
3,composition_only,49,3312495928,0.1096413893,0.09536041057,0.04039594975,0.75,0.844410627,1,0.6666666667,9
3,composition_only,50,3078168926,0.1085496484,0.08675915991,-0.02517652414,0.6666666667,0.8033602855,1,0.6666666667,9
3,composition_only,51,1005097259,0.1561073195,0.1370268704,0.1218968048,0.6833333333,0.8080410971,1,0.6666666667,9
3,composition_only,52,1646080115,0.1163450335,0.1069028173,0.05456743381,0.6166666667,0.7754581379,1,0.3333333333,9
3,composition_only,53,2175304393,0.09883107551,0.08588293779,0.05104297615,0.75,0.899188889,1,0.6666666667,9
3,composition_only,54,3907648593,0.1084396037,0.09746155621,0.01172397945,0.75,0.8198476376,1,0.6666666667,9
3,composition_only,55,1971688097,0.1466984233,0.1201836455,0.08568056662,0.5333333333,0.5047701275,1,0.6666666667,9
3,composition_only,56,268300483,0.1435407683,0.1260349159,0.09037141567,0.7,0.6201764571,1,0.6666666667,9
3,composition_only,57,3139098279,0.107738212,0.08629036302,-0.0281165743,0.75,0.8183601433,1,0.6666666667,9
3,composition_only,58,3174456534,0.1045072527,0.08408921053,-0.002009606033,0.7166666667,0.7697812307,1,0.3333333333,9
3,composition_only,59,997026310,0.09744665032,0.07319467259,-0.01562762834,0.9166666667,0.8409593327,1,0.6666666667,9
3,composition_only,60,4280428995,0.1159993527,0.08426302422,-0.06871146568,0.6666666667,0.8144256561,1,0.6666666667,9
3,composition_only,61,345698675,0.1026681696,0.08095188487,0.03712419018,0.8666666667,0.808458711,1,0.6666666667,9
3,composition_only,62,2296661869,0.1061405351,0.08981838577,0.02881544674,0.75,0.8510917522,1,0.6666666667,9
3,composition_only,63,1808063307,0.1010651592,0.08401681544,0.05102306881,0.7,0.8726684733,1,0.6666666667,9
3,composition_only,64,3884888703,0.095970351,0.08611086591,0.06885016151,0.9333333333,0.9507128583,1,1,9
3,composition_only,65,2494461129,0.09355624661,0.06812953528,-0.01404788457,0.5833333333,0.7984619509,1,0.3333333333,9
