scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
augmented_15,15,True,5.0,5,holdout,33.569361800819784,15,5,15,5,8,26.138417855000583,-0.060821388116020225,235.58958208955232
augmented_15,15,True,10.0,5,holdout,33.569361800819784,15,5,15,5,8,26.13583081111114,-0.06061140940251275,235.58958208955232
augmented_15,15,True,20.0,5,holdout,33.569361800819784,15,5,15,5,8,26.135184063871087,-0.060558919086083574,235.58958208955232
augmented_15,15,True,50.0,5,holdout,33.569361800819784,15,5,15,5,8,26.135003087506696,-0.06054423119007479,235.58958208955232
augmented_15,15,True,3.0,6,holdout,37.25519979230186,15,5,15,5,8,38.08958707326235,-1.439976337743941,216.81708656716418
augmented_15,15,True,5.0,6,holdout,37.25519979230186,15,5,15,5,8,38.07757558708314,-1.4384376956510843,216.81708656716418
augmented_15,15,True,10.0,6,holdout,37.25519979230186,15,5,15,5,8,38.07273411743018,-1.4378176524159634,216.81708656716418
augmented_15,15,True,20.0,6,holdout,37.25519979230186,15,5,15,5,8,38.07134365619622,-1.4376395917054863,216.81708656716418
augmented_15,15,True,50.0,6,holdout,37.25519979230186,15,5,15,5,8,38.07109386731765,-1.4376076047460566,216.81708656716418
augmented_15,15,True,3.0,7,holdout,34.274612472869414,15,5,15,5,8,29.408422283047983,-0.09233465572154587,233.80785074626866
augmented_15,15,True,5.0,7,holdout,34.274612472869414,15,5,15,5,8,29.40329943558584,-0.09195412688019777,233.80785074626866
augmented_15,15,True,10.0,7,holdout,34.274612472869414,15,5,15,5,8,29.401103179604267,-0.09179100768863901,233.80785074626866
augmented_15,15,True,20.0,7,holdout,34.274612472869414,15,5,15,5,8,29.400629836012545,-0.0917558533535261,233.80785074626866
augmented_15,15,True,50.0,7,holdout,34.274612472869414,15,5,15,5,8,29.400424609608102,-0.09174061175172588,233.80785074626866
augmented_15,15,True,3.0,8,holdout,36.73064916273183,15,5,15,5,8,36.61598122143412,-1.230951564052409,218.4990746268657
augmented_15,15,True,5.0,8,holdout,36.73064916273183,15,5,15,5,8,36.60317405283836,-1.2293911975122462,218.4990746268657
augmented_15,15,True,10.0,8,holdout,36.73064916273183,15,5,15,5,8,36.597600396604875,-1.228712299334254,218.4990746268657
augmented_15,15,True,20.0,8,holdout,36.73064916273183,15,5,15,5,8,36.59611378586435,-1.2285312404498763,218.4990746268657
augmented_15,15,True,50.0,8,holdout,36.73064916273183,15,5,15,5,8,36.59606573714256,-1.2285253885712915,218.4990746268657
augmented_15,15,True,3.0,9,holdout,35.270363169077065,15,5,15,5,8,45.81045406188987,-0.5479345284801038,218.43605373134332
augmented_15,15,True,5.0,9,holdout,35.270363169077065,15,5,15,5,8,45.79915674081672,-0.5471711500143044,218.43605373134332
augmented_15,15,True,10.0,9,holdout,35.270363169077065,15,5,15,5,8,45.794387466138325,-0.5468489388420659,218.43605373134332
augmented_15,15,True,20.0,9,holdout,35.270363169077065,15,5,15,5,8,45.79305267893574,-0.5467587669152587,218.43605373134332
augmented_15,15,True,50.0,9,holdout,35.270363169077065,15,5,15,5,8,45.79285733228603,-0.546745570437589,218.43605373134332
baseline_20,20,False,,0,group_cv,33.93522067674094,16,4,16,4,0,39.63729297831575,-0.007550922156202455,221.8863731343284
baseline_20,20,False,,1,group_cv,35.5929662496625,16,4,16,4,0,42.33260418919437,-0.0598714898206576,216.60105970149255
baseline_20,20,False,,2,group_cv,38.62604929103509,16,4,16,4,0,28.118447356890098,-0.13693098594413922,232.44246268656718
baseline_20,20,False,,3,group_cv,34.40017689622891,16,4,16,4,0,21.92412320080068,-0.12764598332440347,218.72823880597014
baseline_20,20,False,,4,group_cv,34.538349780140564,16,4,16,4,0,24.374351900577835,-0.2659538232547094,233.56758955223884
augmented_20,20,True,3.0,0,group_cv,33.93522067674094,16,4,16,4,8,45.24197480987243,-0.3126294339838023,221.8863731343284
augmented_20,20,True,5.0,0,group_cv,33.93522067674094,16,4,16,4,8,45.23284945010295,-0.31209996957075226,221.8863731343284
augmented_20,20,True,10.0,0,group_cv,33.93522067674094,16,4,16,4,8,45.22898002320349,-0.3118754929870067,221.8863731343284
augmented_20,20,True,20.0,0,group_cv,33.93522067674094,16,4,16,4,8,45.22793401095748,-0.31181481410535605,221.8863731343284
augmented_20,20,True,50.0,0,group_cv,33.93522067674094,16,4,16,4,8,45.227758965166416,-0.3118046598844071,221.8863731343284
augmented_20,20,True,3.0,1,group_cv,35.5929662496625,16,4,16,4,8,49.881096750281166,-0.4715506870255861,216.60105970149255
augmented_20,20,True,5.0,1,group_cv,35.5929662496625,16,4,16,4,8,49.86920468086481,-0.4708491107567119,216.60105970149255
augmented_20,20,True,10.0,1,group_cv,35.5929662496625,16,4,16,4,8,49.86435070418458,-0.47056279699364123,216.60105970149255
augmented_20,20,True,20.0,1,group_cv,35.5929662496625,16,4,16,4,8,49.86310665705282,-0.4704894208608845,216.60105970149255
augmented_20,20,True,50.0,1,group_cv,35.5929662496625,16,4,16,4,8,49.862630059180965,-0.47046131074796804,216.60105970149255
augmented_20,20,True,3.0,2,group_cv,38.62604929103509,16,4,16,4,8,28.134358740828286,-0.1382180601224252,232.44246268656718
augmented_20,20,True,5.0,2,group_cv,38.62604929103509,16,4,16,4,8,28.128825867047667,-0.13777042257873107,232.44246268656718
augmented_20,20,True,10.0,2,group_cv,38.62604929103509,16,4,16,4,8,28.126591689509553,-0.13758969124048104,232.44246268656718
augmented_20,20,True,20.0,2,group_cv,38.62604929103509,16,4,16,4,8,28.126005469079164,-0.1375422719600965,232.44246268656718
augmented_20,20,True,50.0,2,group_cv,38.62604929103509,16,4,16,4,8,28.12585399924959,-0.13753001974957235,232.44246268656718
augmented_20,20,True,3.0,3,group_cv,34.40017689622891,16,4,16,4,8,33.01892892193032,-1.557727496149682,218.72823880597014
augmented_20,20,True,5.0,3,group_cv,34.40017689622891,16,4,16,4,8,33.00506909675189,-1.5555807144676779,218.72823880597014
augmented_20,20,True,10.0,3,group_cv,34.40017689622891,16,4,16,4,8,32.99896639127119,-1.5546357375294657,218.72823880597014
augmented_20,20,True,20.0,3,group_cv,34.40017689622891,16,4,16,4,8,32.997671171423285,-1.5544352009468243,218.72823880597014
augmented_20,20,True,50.0,3,group_cv,34.40017689622891,16,4,16,4,8,32.997025493467284,-1.5543352347186592,218.72823880597014
augmented_20,20,True,3.0,4,group_cv,34.538349780140564,16,4,16,4,8,23.23177451002034,-0.15004935406953135,233.56758955223884
augmented_20,20,True,5.0,4,group_cv,34.538349780140564,16,4,16,4,8,23.2233515579847,-0.1492155775097217,233.56758955223884
augmented_20,20,True,10.0,4,group_cv,34.538349780140564,16,4,16,4,8,23.21976326284113,-0.14886046889569116,233.56758955223884
augmented_20,20,True,20.0,4,group_cv,34.538349780140564,16,4,16,4,8,23.218953935039146,-0.14878038293587115,233.56758955223884
augmented_20,20,True,50.0,4,group_cv,34.538349780140564,16,4,16,4,8,23.21866895181243,-0.14875218346296437,233.56758955223884
